,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Mier Serviced Apartments,Central & Western,,132
1,Pearl Court,Kowloon City,,351
2,Kam Fung Building,Southern,,496
3,The Park Lane Hong Kong,Wan Chai,,648
4,The Emperor Hotel,Wan Chai,,648
5,Royal Plaza Hotel,Yau Tsim Mong,,648
6,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876
7,Prudential Hotel,Yau Tsim Mong,,949
8,Imperial Hotel,Yau Tsim Mong,,949
9,Best Western Plus Hotel Kowloon,Yau Tsim Mong,,949
10,"Harmony Court, 127 Bonham Strand",Central & Western,,968
11,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004
12,"Block 2, Carado Garden",Sha Tin,,1007
13,"Block 3, Garden Terrace",Central & Western,,1009
14,"Tower 11, Avignon",Tuen Mun,,1013
15,Silka Tsuen Wan Hotel,Kwai Tsing,,1015
16,CHI Residences 138,Wan Chai,,1017
17,Metropark Hotel Mongkok,Yau Tsim Mong,,1018
18,"Block 2, Cronin Garden",Sham Shui Po,,1018
19,"Block F, Kornhill",Eastern,,1022
20,"Block 1, Seaview Crescent",Islands,,1024
21,"Block A, Lux Theatre Building",Kowloon City,,1025
22,"Hor Tung House, Yu Tung Court",Islands,,1026
23,Louver Mansion,North,,1034
24,3 Square Street,Central & Western,,1035
25,The Ellipsis,Wan Chai,,1036
26,"Tower 17, Laguna Verde",Kowloon City,,1038
27,Shek Kip Mei Reporting Centre And PTU KW Operational Base,Sham Shui Po,01/04/2020,"663, 854"
28,Westlands Centre,Eastern,01/04/2020,"801, 960"
29,88 Gloucester Road,Wan Chai,03/04/2020,"923, 925"
30,Shun Tak Centre,Central & Western,04/04/2020,"923, 932"
31,Windsor House,Wan Chai,05/04/2020,"903, 925, 944"
32,Hong Kong Sanatorium & Hospital,Wan Chai,13/04/2020,1022
33,Cityplaza,Eastern,14/04/2020,1022
34,Marina Square East Centre,Southern,16/04/2020,496
35,Yu Chui Shopping Centre,Sha Tin,17/04/2020,1004
36,Tai Wo Hau Commerical Centre 2,Tsuen Wan,20/04/2020,1004
37,Smartland,Tsuen Wan,20/04/2020,1004
38,Mandarin Oriental Hotel,Central & Western,21/04/2020,1036
39,the L. place,Central & Western,21/04/2020,1036
