,Unnamed: 0,District,Name of Building,End Date of HomeQuarantine
0,1,North,"Block A, Fanling Centre",10/02/2020
1,2,Sha Tin,"Fontana Heights, Belair Garden",10/02/2020
2,3,Yau Tsim Mong,69 Bute Street,10/02/2020
3,4,Tuen Mun,"Block A, New Town Mansion",11/02/2020
4,5,Yuen Long,"Yuet Ping House, Long Ping Estate",11/02/2020
5,6,Sham Shui Po,"Choi Lan House, 259 Yu Chau Street",12/02/2020
6,7,Tuen Mun,"Tip Ling House, Butterfly Estate",12/02/2020
7,8,Kwun Tong,"Kwong Ching House, Kwong Tin Estate",12/02/2020
8,9,Kwun Tong,"Ping Shing House, Ping Tin Estate",13/02/2020
9,10,North,15 Po Sheung Tsuen,13/02/2020
10,11,North,"Block 11, Dawning Views",13/02/2020
11,12,Sha Tin,"Block 5, Jubilee Garden",13/02/2020
12,13,Sha Tin,"Tower 5, Phase 2 Festival City",13/02/2020
13,14,Sham Shui Po,"Wing On Building, 206 Fuk Wah Street",13/02/2020
14,15,Yuen Long,"Block 5, Sherwood Court, Kingswood Villas",13/02/2020
15,16,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
16,17,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
17,18,Kwai Tsing,"Block A, Kwai Chung Building",18/02/2020
18,19,Kwai Tsing,"Block 1, Villa Esplanada",19/02/2020
19,20,Yuen Long,"Block 3, Sereno Verde",20/02/2020
20,21,Sha Tin,"Block H, Sui Wo Court",22/02/2020
