,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Block 5, Lei Muk Shue Estate",Tsuen Wan,,1049
1,"Cheuk Ming Building, 10 Tsuen Wan Market Street",Tsuen Wan,,1050
2,"Block 8, Charming Garden",Yau Tsim Mong,,1050
3,"Block 5, Lei Muk Shue Estate",Tsuen Wan,,1052
4,"Block 5, Le Bleu Deux",Islands,,1053
5,"Cheuk Ming Building, 10 Tsuen Wan Market Street",Tsuen Wan,08/05/2020,1049
6,9 San Tsuen Street,Tsuen Wan,08/05/2020,1049
7,Hau Tei Square,Tsuen Wan,08/05/2020,1049
8,32-34 Chuen Lung Street,Tsuen Wan,08/05/2020,1049
9,Hang Seng Tsuen Wan Building,Tsuen Wan,09/05/2020,1050
10,Olympian City 2,Yau Tsim Mong,10/05/2020,1050
11,"Cheuk Ming Building, 10 Tsuen Wan Market Street",Tsuen Wan,11/05/2020,1052
