,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Tsuen Wan,"Block 5, Lei Muk Shue Estate",1049,
1,Tsuen Wan,"Cheuk Ming Building, 10 Tsuen Wan Market Street",1050,
2,Yau Tsim Mong,"Block 8, Charming Garden",1050,
3,Tsuen Wan,"Block 5, Lei Muk Shue Estate",1052,
4,Islands,"Block 5, Le Bleu Deux",1053,
5,Sham Shui Po,"Hoi Shui House, Hoi Lai Estate",1066,
6,Tsuen Wan,"Cheuk Ming Building, 10 Tsuen Wan Market Street",1052,11/05/2020
