,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,九龍城,新翠園,351,
1,南區,金豐大廈,496,
2,灣仔,柏寧酒店,648,
3,灣仔,英皇駿景酒店,648,
4,油尖旺,帝京酒店,648,
5,元朗,嘉湖山莊樂湖居 4座,876,
6,油尖旺,恆豐酒店,949,
7,油尖旺,帝國酒店,949,
8,油尖旺,最佳盛品酒店尖沙咀,949,
9,中西區,文咸東街 127號萬和閣,968,
10,葵青,大窩口邨富泰樓,1004,
11,九龍城,寶石戲院大廈 A座,1025,
12,離島,裕東苑賀東閣,1026,
13,北區,聯發大廈,1034,
14,中西區,四方街 3號,1035,
15,灣仔,The Ellipsis,1036,
16,灣仔,皇室堡,"903, 925, 944",05/04/2020
17,荃灣,大窩口第二商場,1004,20/04/2020
18,荃灣,荃薈,1004,20/04/2020
19,中西區,文華東方酒店,1036,21/04/2020
20,中西區,the L. place,1036,21/04/2020
